     일자	종가	시가	고가	저가	고가	등락률
2022-03-10	70800	70800	71200	70600	71200	1.87
2022-03-08	69500	68800	70000	68700	70000	-0.86
2022-03-07	70100	70000	70600	69900	70600	-1.96
2022-03-04	71500	72700	72700	71200	72700	-1.92
2022-03-03	72900	72300	73100	72200	73100	1.67
2022-03-02	71700	72300	72400	71500	72400	-0.55
2022-02-28	72100	71100	72100	71000	72100	0.28
2022-02-25	71900	72100	72600	71900	72600	0.56
2022-02-24	71500	72300	72300	71300	72300	-2.05
2022-02-23	73000	73800	73800	72800	73800	-0.54
2022-02-22	73400	73000	73400	72800	73400	-1.08
2022-02-21	74200	73200	74300	72600	74300	-0.13
2022-02-18	74300	74600	74800	73700	74800	-0.93
2022-02-17	75000	75000	75600	74500	75600	0.27
2022-02-16	74800	74600	74900	74200	74900	1.49
2022-02-15	73700	74100	74200	73100	74200	0
2022-02-14	73700	74400	74500	73100	74500	-1.6
2022-02-11	74900	75000	75500	74600	75500	-0.66
2022-02-10	75400	75600	75800	74700	75800	0.94
2022-02-09	74700	74300	74700	74000	74700	1.63
2022-02-08	73500	73800	74200	73000	74200	0.68
2022-02-07	73000	73500	73600	72400	73600	-1.35
2022-02-04	74000	74300	74600	73400	74600	0.95
2022-02-03	73300	74900	74900	73300	74900	0
2022-01-28	73300	71300	73700	71200	73700	2.81
2022-01-27	71300	73800	74000	71300	74000	-2.73
2022-01-26	73300	73900	74400	73100	74400	-0.95
2022-01-25	74000	74800	75000	73200	75000	-1.46
2022-01-24	75100	75400	75800	74700	75800	-0.66
2022-01-21	75600	75800	75800	74700	75800	-1.18
2022-01-20	76500	76200	76700	75900	76700	0.26
2022-01-19	76300	76500	76900	76100	76900	-0.91
2022-01-18	77000	77600	77800	76600	77800	-0.65
2022-01-17	77500	77600	77800	76900	77800	0.26
2022-01-14	77300	77700	78100	77100	78100	-0.77
2022-01-13	77900	79300	79300	77900	79300	-1.27
2022-01-12	78900	79500	79600	78600	79600	0
2022-01-11	78900	78400	79000	78000	79000	1.15
2022-01-10	78000	78100	78100	77100	78100	-0.38
2022-01-07	78300	78100	78400	77400	78400	1.82
2022-01-06	76900	76700	77600	76600	77600	-0.65
2022-01-05	77400	78800	79000	76400	79000	-1.65
2022-01-04	78700	78800	79200	78300	79200	0.13
2022-01-03	78600	79400	79800	78200	79800	0.38
2021-12-30	78300	78900	79500	78100	79500	-0.63
2021-12-29	78800	80200	80200	78500	80200	-1.87
2021-12-28	80300	80200	80400	79700	80400	0.12
2021-12-27	80200	80600	80600	79800	80600	-0.37
2021-12-24	80500	80200	80800	80200	80800	0.75
2021-12-23	79900	79800	80000	79300	80000	0.63
2021-12-22	79400	78900	79400	78800	79400	1.66
2021-12-21	78100	77900	78300	77500	78300	1.3
2021-12-20	77100	77600	77800	76800	77800	-1.15
2021-12-17	78000	76800	78000	76800	78000	0.26
2021-12-16	77800	78500	78500	77400	78500	0.26
2021-12-15	77600	76400	77600	76300	77600	0.78
2021-12-14	77000	76500	77200	76200	77200	0.26
2021-12-13	76800	77200	78300	76500	78300	-0.13
2021-12-10	76900	77400	77600	76800	77600	-1.66
2021-12-09	78200	77400	78200	77000	78200	1.03
2021-12-08	77400	78300	78600	77100	78600	0
2021-12-07	77400	76100	77700	75600	77700	1.44
2021-12-06	76300	75100	76700	74900	76700	0.93
2021-12-03	75600	75600	76000	74100	76000	-0.26
2021-12-02	75800	73900	75800	73800	75800	1.88
2021-12-01	74400	72000	74800	71600	74800	4.35
2021-11-30	71300	73200	73900	70500	73900	-1.38
2021-11-29	72300	71700	73000	71400	73000	0
2021-11-26	72300	73500	74100	72000	74100	-1.9
2021-11-25	73700	75100	75100	73600	75100	-1.47
2021-11-24	74800	76000	76200	74100	76200	-0.66
2021-11-23	75300	76000	76000	74500	76000	0.53
2021-11-22	74900	73300	75200	73000	75200	5.2
2021-11-19	71200	70400	71400	70100	71400	1.42
2021-11-18	70200	70700	71000	70200	71000	-0.71
2021-11-17	70700	71300	71600	70600	71600	-0.84
2021-11-16	71300	71500	72000	71300	72000	-0.14
2021-11-15	71400	71700	71900	70900	71900	1.13
2021-11-12	70600	70200	70900	69900	70900	1
2021-11-11	69900	69900	70000	69600	70000	-0.43
2021-11-10	70200	70300	70900	70200	70900	-0.43
2021-11-09	70500	70300	71000	70100	71000	-0.14
2021-11-08	70600	70400	70600	69800	70600	0.57
2021-11-05	70200	71600	71600	70200	71600	-0.57
2021-11-04	70600	71200	71600	70500	71600	0.28
2021-11-03	70400	71700	71700	70100	71700	-1.54
2021-11-02	71500	70800	72200	70700	72200	2.29
2021-11-01	69900	70200	70600	69900	70600	0.14
2021-10-29	69800	71200	71600	69700	71600	-1.27
2021-10-28	70700	69500	72200	69500	72200	0.86
2021-10-27	70100	71000	71000	70000	71000	-1.41
2021-10-26	71100	70600	71500	70400	71500	1.28
2021-10-25	70200	69900	70600	69500	70600	-0.28
2021-10-22	70400	70000	70700	70000	70700	0.28
2021-10-21	70200	70300	70600	70000	70600	-0.14
2021-10-20	70300	70700	71000	70200	71000	-0.42
2021-10-19	70600	70800	71000	70400	71000	0.57
2021-10-18	70200	70200	70300	69200	70300	0.14
2021-10-15	70100	70200	71000	70000	71000	1.01
2021-10-14	69400	69000	69800	68800	69800	0.87
2021-10-13	68800	68700	69600	68300	69600	-0.29
2021-10-12	69000	70700	70900	68700	70900	-3.5
2021-10-08	71500	72300	72400	71500	72400	-0.14
2021-10-07	71600	71600	72100	71300	72100	0.42
2021-10-06	71300	72600	72800	71200	72800	-1.25
2021-10-05	72200	73000	73000	71400	73000	-1.37
2021-10-01	73200	73900	74000	72900	74000	-1.21
2021-09-30	74100	74300	74800	73700	74800	0
2021-09-29	74100	74800	75300	73800	75300	-2.88
2021-09-28	76300	77700	77800	76200	77800	-1.8
2021-09-27	77700	77300	77700	77000	77700	0.52
